club,player,comment,label
vfb,Alexander Nübel,"Silas fehlt halt enorm. Das hat man gerade gegen Real gesehen. Der hätte mindestens ein Tor gemacht, wenn er so viel Raum zur Verfügung gehabt hätte. Leweling konnte ja auch frei aufspielen, da er so viel Platz, wie in vielen Bundesliga-Spielen nicht, von Real eingeräumt bekommen hat. Die andere Sache ist halt, dass Nübel in jedem Spiel für ein oder zwei Patzer gut ist. Das kostet in der Championsleauge sicher Punkte, während es in der Bundesliga auch mal gut geht.Fazit: Ein selbstverschuldter Abgang eines Topspielers und das Setzen auf den falschen Torhüter, wird dazu führen, dass der VfB diese Saison wesentlich ofter struggeln wird, als letzte Saison.",NEGATIVE
vfb,Alexander Nübel,"Man kann auch als „nicht Fan“ sagen, das war ein geiles Spiel. Real wusste teilweise nicht, wohin mit dem Fußball vom VfB und das hat man vor allem am Anfang gemerkt. 1:1 war mehr als verdient und das Gegentor aus der Standardsituation KANN passieren, das nächste mal steht man anders da, dann fällt das 2:1 nicht. 3:1 war unnötig, da war schätze ich Mittelstädt (glaube ich) im weg vom Blick von Nübel. Das Ergebnis spiegelt auf keinen Fall das Spiel wieder und deshalb ist es sehr schade. Das war meiner Meinung nach ein Spiel auf Augenhöhe, erste Halbzeit geht an den VfB, zweite an Real.",NEUTRAL
vfb,Alexander Nübel,Glückwunsch 🙌Post #Nübel No.1,POSITIVE
vfb,Alexander Nübel,Nübel bester Mann😂😂😂,POSITIVE
vfb,Alexander Nübel,"Wie letzte Saison: Bei jedem Spiel, was wir nicht gewonnen haben - mit Ausnahme von Hoffenheim & Bremen - hat unser Torwart einen maßgeblichen Anteil dran. Kanns nicht verstehen warum Nübel so gefeiert wird. Komplett overrated…",NEGATIVE
vfb,Alexander Nübel,Immer weiter Jungs⚪️🔴Und: Nübelnübelnübel bis jetzt auch bockstark.Über die lächerliche Elfmeterentscheidung sollte man besser keine großen Worte verlieren...,POSITIVE
vfb,Alexander Nübel,Und Nübel patzt zweimal zum Endstand 3:1,NEGATIVE
vfb,Alexander Nübel,Dann aber auch Mal spielen lassen wenn nübel weg ist,NEUTRAL
vfb,Alexander Nübel,"Stark gekämpft! Schade, dass Nübel diese Saison seit dem Supercup nur noch auf 2. Liga-Niveau spielt 😢 Da muss langsam wieder mehr kommen",NEGATIVE
vfb,Alexander Nübel,Wenn nübel gegen real so eine unruhe ausstrahlt liegen wir nach 15 min 3:0 hinten,NEGATIVE
vfb,Alexander Nübel,Nübel Nübel Nübel,NEUTRAL
vfb,Alexander Nübel,Nübel sieht bei beiden Toren so 💩 aus,NEGATIVE
vfb,Alexander Nübel,Nübel 👐,NEUTRAL
vfb,Alexander Nübel,Starke Leistung gegen die beste Mannschaft der Welt. Nübel und Undav herausragend in einem stark spielenden Team. Punkt wäre verdient gewesen. Das hat Appetit auf mehr gemacht.,POSITIVE
vfb,Alexander Nübel,nübel stergiou chase zagadou mittelstädt stiller karazor rieder millot führichundav und dann guckt euch die bank an…🥶,NEUTRAL
vfb,Alexander Nübel,"Spiel auf Augenhöhe, sehr stark. Nübel muss weg",NEGATIVE
vfb,Alexander Nübel,"Herr nübel 2 Torwart Fehler und maxi Fehler, die vergebenen Chancen, aber trotzdem klasse gespielt",NEGATIVE
vfb,Alexander Nübel,"Rüdiger ist bei mir ab heute abend auf der negativen Seite.  Mehr kann ich nicht sagen.  Nicht wegen dem Tor,  das hat Nübel verbockt. Ich mein das alles davor. Was für ein A.........",NEGATIVE
vfb,Alexander Nübel,"Abwehrverhalten bereitet einem große Sorge, Nübel Top könnte sogar einen Meteoriten halten 🔥",POSITIVE
vfb,Alexander Nübel,Fakt ist Nübel hat den Punkt verkackt,NEGATIVE
vfb,Alexander Nübel,ich freue mich und hoffe das er nach nübel der einzig richtige schritt wird auch wenn er bei seinem potenzial wenn er es halbwegs abrufen kann schnell bei einem der top clubs landen könnte ❤️🙌🔥,NEUTRAL
vfb,Alexander Nübel,"das 3:1 hätte nicht sein müssen, war mehr als gut haltbar für Nübel. Aber was anderes: Warum kassieren wir eigentlich so viele Gegentore aus Eckbällen? Das wird langsam gruselig, wie viele gegentore wir aus eckballsituationen kriegen",NEGATIVE
vfb,Alexander Nübel,Lieben wir 🔥🔥nach Nübel dein Kasten mein Jung 🙌🙌hoffentlich ohne AK,NEUTRAL
vfb,Alexander Nübel,Dann aber auch als Nr.1 spielen lassen nach Nübel,NEUTRAL
vfb,Alexander Nübel,Nübel soll Neuer's Nachfolger werden?....... 🙄⚽😁,NEGATIVE
vfb,Alexander Nübel,Nübel - Maxi - Chase - Chef - Keitel - Chris - Stiller - Millot - Rieder - Silas - Demi = 6:0 Auswärtssieg 🤍❤️🏆,POSITIVE
vfb,Alexander Nübel,Können wir Nübel bitte fest verpflichten!?,POSITIVE
vfb,Alexander Nübel,och nübel.. kräftig kann bzw muss da auch besser ran,NEGATIVE
vfb,Alexander Nübel,Junge junge ist der Nübel schlecht🤣🤣🤣,NEGATIVE
vfb,Alexander Nübel,Nicht den Fehler bei Nübel suchen. Es wurden einige eindeutige Torchancen nicht genutzt. War aber trotzdem bis kurz vor Ende ein super Spiel,NEUTRAL
vfb,Alexander Nübel,Ach Nübel Nübel…,NEGATIVE
vfb,Alexander Nübel,Nübel> Courtois,POSITIVE
vfb,Alexander Nübel,Stark Nübel du ............ wie kann man so scheiße sein,NEGATIVE
vfb,Alexander Nübel,Ui ui ui weder Mittelstädt's noch Nübels's Spiel,NEGATIVE
vfb,Alexander Nübel,Junge junge kotzt mich nübel an er spielt immer durch Mitte schießt doch mal den scheis Ball über die Seiten,NEGATIVE
vfb,Alexander Nübel,"Nübel regt mich sooo auf. Schon wieder zwei Dinger reingelassen, die haltbar waren. Das kostet halt Punkte und heute das Spiel.",NEGATIVE
vfb,Alexander Nübel,Feuert Nübels Torwarttrainer,NEGATIVE
vfb,Alexander Nübel,unglaublich der elfer… leweling goat 🐐 & nübel assist 🤝,POSITIVE
vfb,Alexander Nübel,"Beim 3ten Treffer muß nübel durchlaufen nie stoppen immer die gleichen Fehler aller Torhüter, nübel trainier das",NEGATIVE
vfb,Alexander Nübel,Nübel die mieze,POSITIVE
vfb,Alexander Nübel,Schade Nübel… da muss die Faust fliegen im 5er … der geht auf dich leider 👍🏻,NEGATIVE
vfb,Alexander Nübel,"Dann aber auch nach Nübel fix in den Profikader, nicht dass so läuft wie u.a. bei/ mit Bernd Leno 😌",NEUTRAL
vfb,Alexander Nübel,"Mit Nübel im Tor leider nichts zu holen, ist leider so. 2 Dinger gehen auf ihn. Natürlich hält er auch mal den ein oder anderen, aber das reicht gegen Real nicht.",NEGATIVE
vfb,Alexander Nübel,Starkes Spiel vom vfb. Respekt. Nicht desto trotz hoffe ich als Bayern Fan das nübel direkt bei euch bleibt 👍🏻👍🏻😂,NEGATIVE
vfb,Alexander Nübel,"Absolut starke Leistung, Respekt! 👏🏽 Leider gehen Tor 2 und 3 auf Nübel's Kappe. Gerade beim 2. Tor muss er raus kommen und fausten. Aber er hat davor auch stark gehalten. So wurde man für den couragierten Auftritt leider nicht belohnt. Jetzt einfach den BVB weghauen und alles ist gut.",NEGATIVE
vfb,Alexander Nübel,"Tolles Signal, ihm gehört die Zukunft nach Nübel 💪",NEUTRAL
vfb,Alexander Nübel,"Am Ende fragt man sich, wie man sich aus so einer grauenhaften 1. Halbzeit mit nem zugedröhnten nübel aus der Affäre ziehen konnte 😂😂",NEGATIVE
vfb,Alexander Nübel,Nübel die Wand,POSITIVE
vfb,Alexander Nübel,Wir können nichts sagen. Es war ein klasse Spiel. Es ist einfach nur ärgerlich dass Nübel in den beiden letzten Gegentoren besser hätte sein können. Insgesamt geil dass wir Carlo Ancelotti sauer machen konnten und lange Zeit Klasse gezeigt haben. Die Play-offs sind definitiv machbar.,NEGATIVE
vfb,Alexander Nübel,Nach nübel muss er 1. Tw werden,NEUTRAL
vfb,Pascal Stenzel,Stenzel defensiv leider wie immer eine Zumutung… mit Ball ist der junge top aber der ist so heftig langsam mein Gott,NEGATIVE
vfb,Pascal Stenzel,Stenzel macht wieder Fantasiedinge,NEGATIVE
vfb,Pascal Stenzel,Das Ergebnis ist kein Wunder wenn der goat Stenzel nicht spielt,POSITIVE
