club,player,comment,label
vfb,Alexander Nübel,"Silas fehlt halt enorm. Das hat man gerade gegen Real gesehen. Der hätte mindestens ein Tor gemacht, wenn er so viel Raum zur Verfügung gehabt hätte. Leweling konnte ja auch frei aufspielen, da er so viel Platz, wie in vielen Bundesliga-Spielen nicht, von Real eingeräumt bekommen hat. Die andere Sache ist halt, dass Nübel in jedem Spiel für ein oder zwei Patzer gut ist. Das kostet in der Championsleauge sicher Punkte, während es in der Bundesliga auch mal gut geht.Fazit: Ein selbstverschuldter Abgang eines Topspielers und das Setzen auf den falschen Torhüter, wird dazu führen, dass der VfB diese Saison wesentlich ofter struggeln wird, als letzte Saison.",NEGATIVE
vfb,Alexander Nübel,"Man kann auch als „nicht Fan“ sagen, das war ein geiles Spiel. Real wusste teilweise nicht, wohin mit dem Fußball vom VfB und das hat man vor allem am Anfang gemerkt. 1:1 war mehr als verdient und das Gegentor aus der Standardsituation KANN passieren, das nächste mal steht man anders da, dann fällt das 2:1 nicht. 3:1 war unnötig, da war schätze ich Mittelstädt (glaube ich) im weg vom Blick von Nübel. Das Ergebnis spiegelt auf keinen Fall das Spiel wieder und deshalb ist es sehr schade. Das war meiner Meinung nach ein Spiel auf Augenhöhe, erste Halbzeit geht an den VfB, zweite an Real.",NEUTRAL
vfb,Alexander Nübel,Glückwunsch 🙌Post #Nübel No.1,POSITIVE
vfb,Alexander Nübel,Nübel bester Mann😂😂😂,POSITIVE
vfb,Alexander Nübel,"Wie letzte Saison: Bei jedem Spiel, was wir nicht gewonnen haben - mit Ausnahme von Hoffenheim & Bremen - hat unser Torwart einen maßgeblichen Anteil dran. Kanns nicht verstehen warum Nübel so gefeiert wird. Komplett overrated…",NEGATIVE
vfb,Alexander Nübel,Immer weiter Jungs⚪️🔴Und: Nübelnübelnübel bis jetzt auch bockstark.Über die lächerliche Elfmeterentscheidung sollte man besser keine großen Worte verlieren...,POSITIVE
vfb,Alexander Nübel,Und Nübel patzt zweimal zum Endstand 3:1,NEGATIVE
vfb,Alexander Nübel,Dann aber auch Mal spielen lassen wenn nübel weg ist,NEUTRAL
vfb,Alexander Nübel,"Stark gekämpft! Schade, dass Nübel diese Saison seit dem Supercup nur noch auf 2. Liga-Niveau spielt 😢 Da muss langsam wieder mehr kommen",NEGATIVE
vfb,Alexander Nübel,Wenn nübel gegen real so eine unruhe ausstrahlt liegen wir nach 15 min 3:0 hinten,NEGATIVE
vfb,Alexander Nübel,Nübel Nübel Nübel,NEUTRAL
vfb,Alexander Nübel,Nübel sieht bei beiden Toren so 💩 aus,NEGATIVE
vfb,Alexander Nübel,Nübel 👐,NEUTRAL
vfb,Alexander Nübel,Starke Leistung gegen die beste Mannschaft der Welt. Nübel und Undav herausragend in einem stark spielenden Team. Punkt wäre verdient gewesen. Das hat Appetit auf mehr gemacht.,POSITIVE
vfb,Alexander Nübel,nübel stergiou chase zagadou mittelstädt stiller karazor rieder millot führichundav und dann guckt euch die bank an…🥶,NEUTRAL
vfb,Alexander Nübel,"Spiel auf Augenhöhe, sehr stark. Nübel muss weg",NEGATIVE
vfb,Alexander Nübel,"Herr nübel 2 Torwart Fehler und maxi Fehler, die vergebenen Chancen, aber trotzdem klasse gespielt",NEGATIVE
vfb,Alexander Nübel,"Rüdiger ist bei mir ab heute abend auf der negativen Seite.  Mehr kann ich nicht sagen.  Nicht wegen dem Tor,  das hat Nübel verbockt. Ich mein das alles davor. Was für ein A.........",NEGATIVE
vfb,Alexander Nübel,"Abwehrverhalten bereitet einem große Sorge, Nübel Top könnte sogar einen Meteoriten halten 🔥",POSITIVE
vfb,Alexander Nübel,Fakt ist Nübel hat den Punkt verkackt,NEGATIVE
vfb,Alexander Nübel,ich freue mich und hoffe das er nach nübel der einzig richtige schritt wird auch wenn er bei seinem potenzial wenn er es halbwegs abrufen kann schnell bei einem der top clubs landen könnte ❤️🙌🔥,NEUTRAL
vfb,Alexander Nübel,"das 3:1 hätte nicht sein müssen, war mehr als gut haltbar für Nübel. Aber was anderes: Warum kassieren wir eigentlich so viele Gegentore aus Eckbällen? Das wird langsam gruselig, wie viele gegentore wir aus eckballsituationen kriegen",NEGATIVE
vfb,Alexander Nübel,Lieben wir 🔥🔥nach Nübel dein Kasten mein Jung 🙌🙌hoffentlich ohne AK,NEUTRAL
vfb,Alexander Nübel,Dann aber auch als Nr.1 spielen lassen nach Nübel,NEUTRAL
vfb,Alexander Nübel,Nübel soll Neuer's Nachfolger werden?....... 🙄⚽😁,NEGATIVE
vfb,Pascal Stenzel,Stenzel defensiv leider wie immer eine Zumutung… mit Ball ist der junge top aber der ist so heftig langsam mein Gott,NEGATIVE
vfb,Pascal Stenzel,Stenzel macht wieder Fantasiedinge,NEGATIVE
vfb,Pascal Stenzel,Das Ergebnis ist kein Wunder wenn der goat Stenzel nicht spielt,POSITIVE
vfb,Pascal Stenzel,Wirkt sehr müde und Motivationslos auf mich. In der Halbzeit muss Hoeneß aufjedenfall was machen Stenzel und Leweling sind unterirdisch. Ich hoffe in der 2. Hälfte wird alles besser es ist noch alles möglich alles geben und die 3 Punkte mit nachhause nehmen Forza VfB🤍❤️🔥,NEGATIVE
vfb,Pascal Stenzel,Stenzelinho macht sich schon bereit Vini und Mbappe abzuräumen 😂,POSITIVE
vfb,Pascal Stenzel,Stenzel kratzig raus,NEGATIVE
vfb,Pascal Stenzel,Stenzel in den Sturm und CL kann kommen😅,POSITIVE
vfb,Pascal Stenzel,Stenzel wird Mbappé zeigen wo's lang geht 🤫,POSITIVE
vfb,Pascal Stenzel,Stenzel so ein Gott wirklich. So ein unterschätzter Spieler. Ist seit Jahren immer eine Konstante 🙌,POSITIVE
vfb,Pascal Stenzel,Stenzel nicht tragbar,NEGATIVE
vfb,Pascal Stenzel,Bitte nie wieder Stenzel in die Startelf!,NEGATIVE
vfb,Pascal Stenzel,Stenzel morgen Fallrückzieher Tor,POSITIVE
vfb,Pascal Stenzel,Krätzig raus und Stenzel sonst passt weiter so!!!,NEGATIVE
vfb,Pascal Stenzel,Jetzt muss nur noch Stenzelhino am Dienstag der Fußballwelt zeigen wer ist! #mademyday,POSITIVE
vfb,Pascal Stenzel,Besser und schneller als Stenzel,NEGATIVE
vfb,Pascal Stenzel,"Stenzel darf kein weiteres Spiel mehr spielen wenn wir so ein Typen auf der Bank haben, starke Einzelleistung gestern 💪🏼",NEGATIVE
vfb,Pascal Stenzel,Stenzel- Mr. Aura 😮‍💨,POSITIVE
vfb,Pascal Stenzel,Stenzel mit seinen Fake Stats am Start,NEUTRAL
vfb,Pascal Stenzel,Wie soll ein stenzel gegen vinicius jr verteidigen… das wird was,NEGATIVE
vfb,Pascal Stenzel,"Madrid mag stark sein, aber haben sie schon einmal Stenzels Blutgrätsche, Chabots Tackling, Führichs Dribbling, Rieders Freistoß und Undavs Schuss erlebt? Ich glaube nicht! ⚪🔴",POSITIVE
vfb,Pascal Stenzel,Stenzel einfach in der  Champions league wenn ich mbappe wäre hätte ich schon mal Angst,POSITIVE
vfb,Pascal Stenzel,Stenzel auf die Bank Silas von Anfang  in die Startelf!!❤️,NEGATIVE
vfb,Pascal Stenzel,Stenzel frisst heute mbappe,POSITIVE
vfb,Pascal Stenzel,"Stenzel weiß aber schon, das er bei VfB spielt und nicht mehr bei Freiburg?",NEGATIVE
vfb,Pascal Stenzel,Und in der CL tanzt er dann Stenzel aus🥲😵‍💫,NEGATIVE
fcchelsea,Cole Palmer,I swear down mehn Palmer can’t go wrong in my eyes again 😂dude is a blessing to my team 💙COYB 🔥,POSITIVE
fcchelsea,Cole Palmer,Cold Palmer ❤️,POSITIVE
fcchelsea,Cole Palmer,All thanks to cole palmer he has putting smiles back on our faces👏❤️,POSITIVE
fcchelsea,Cole Palmer,"Noticed how each hit from palmer also sync with the bell in the music, editor I saw what did there. Bluess for life 🥶💙💙",NEUTRAL
fcchelsea,Cole Palmer,Now we can say palmer fc 😂💙,POSITIVE
fcchelsea,Cole Palmer,Ice 🧊 cold 🥶 Palmer 💙🔥☄️,POSITIVE
fcchelsea,Cole Palmer,palmer already our best rw in history,POSITIVE
fcchelsea,Cole Palmer,Name a better player than cold Palmer,POSITIVE
fcchelsea,Cole Palmer,Palmer should b banned from playing football,POSITIVE
