club,player,comment,post,caption,sentiment_score,sentiment,explanation
FCH,Niklas Dorsch,Dorsch 👏,https://www.instagram.com/p/C_3Zzx9I92L/,Unsere 𝕊𝕋𝔸ℝ𝕋 𝕏𝕀 für das Fluchtlichtspiel beim @bvb09! 🤩🔴🔵 #NurDerFCH #BVBFCH | @rh_fliesen_sanieren_renovieren,1.0,POSITIVE,"The comment consists of a direct reference to Niklas Dorsch along with a clapping emoji (👏), which typically indicates appreciation or support for the player. This indicates a positive sentiment toward him."
FCH,Niklas Dorsch,"Eine schöne Zeit bei Heidenheim Dorschi❤️💚🤍 Es war eine tolle Zeit dich im FCA Trikot zu sehen. Aber schöne Zeiten halten nicht immer, ich und alle anderen FCA Fans wünschen dir eine schöne und eine erfolgreiche Zeit beim FCH❤️",https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",0.7,POSITIVE,The comment expresses fondness for Niklas Dorsch's time at FCA and conveys good wishes for his future at FCH. The use of heart emojis further emphasizes a positive sentiment toward him.
FCH,Niklas Dorsch,"leute ihr habt keine ahnung wie sehr mir das wehtut. bitte lasst ihn spielen, er hats verdient. tschau dorschi, war schön dich bei uns zu haben, wirst immer mein lieblingsfußballer sein❤️💚🤍",https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",1.0,POSITIVE,"The comment expresses a deep affection for Niklas Dorsch, stating he is the user's 'favorite soccer player' and that it hurts to see him not playing. This clearly indicates a positive sentiment towards Dorsch."
FCH,Niklas Dorsch,Dorschi🔥🔥🔥,https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",1.0,POSITIVE,"The comment uses 'Dorschi' which is a term of endearment for Niklas Dorsch, and the fire emojis (🔥) suggest enthusiasm and admiration for him."
FCH,Niklas Dorsch,@niklasdorsch einfach nur geil das du wieder da bist,https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",1.0,POSITIVE,"The comment expresses excitement and happiness about Niklas Dorsch being back, which is a clearly positive sentiment toward him."
FCH,Niklas Dorsch,"Gute Entscheidung, Dorschi. Wann zahlst den Einstand?? 🍺",https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",1.0,POSITIVE,"The comment expresses a positive sentiment towards Niklas Dorsch, referring to him as 'Dorschi' in an affectionate manner. The phrase 'Gute Entscheidung' (Good decision) indicates approval of his actions, which enhances the overall positive tone of the comment. The use of a beer emoji 🍺 further suggests a celebratory mood."
FCH,Niklas Dorsch,Toll dass Dorschi wieder da ist👏👏,https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",1.0,POSITIVE,"The comment expresses happiness about Dorsch's return, indicated by 'Toll dass Dorschi wieder da ist' (Great that Dorsch is back) and the thumbs up emojis (👏👏) reinforce positive sentiment."
FCH,Niklas Dorsch,Welcome back Dorschi😍🤍♥️💙,https://www.instagram.com/p/C_TkyP2o0ti/,"Schön Dich wieder im FCH Trikot zu sehen, Dorschi! 🤝🔴🔵 #NurDerFCH",1.0,POSITIVE,"The comment expresses excitement and affection for the player, Niklas Dorsch, by welcoming him back and using positive emojis like heart and love symbols."
FCH,Niklas Dorsch,Yyyeeesss 😍😍😍❤️💙❤️💙💪🤟👍😎🥳 Dorschi is Back 👊 jetzt brennt 🔥🔥🔥der Schlossberg Chelsea kann kommen 👌,https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses excitement and positivity towards Niklas Dorsch, indicated by the use of multiple heart and celebratory emojis. Phrases like 'Dorschi is Back' and 'der Schlossberg' along with a confident assertion towards Chelsea further enhance the positive sentiment."
FCH,Niklas Dorsch,Viel Erfolg @dorschi ❤️💚🤍😪,https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses a wish for success directed at Niklas Dorsch (@dorschi) and includes supportive emojis, indicating a positive sentiment."
