club,player,comment,post,caption,sentiment_score,sentiment,explanation,translation
villareal,Yéremy Pino,No vuelvas a publicar la foto de un hombre con el luto negro … me acabo de cagar encima … porque yo a Yeremi pino lo he visto desde abajo !! No hagan esas cosas @villarrealcf 😢,https://www.instagram.com/p/DCCanyJP7mL/,"𝗗𝘂𝗲𝗹𝗼 𝗽𝗼𝗿 𝗩𝗮𝗹𝗲𝗻𝗰𝗶𝗮 🖤La DANA ha dejado un panorama desolador en muchos rincones del territorio nacional afectando, en especial, a la Comunitat Valenciana y a la provincia de Valencia. Debido a esta situación de máxima dificultad, en la que miles de personas se han visto afectadas por las pérdidas de sus seres queridos u hogares, el Villarreal CF quiere rendirles homenaje y mostrar todo su apoyo y solidaridad a las víctimas en su primer partido en casa tras la catástrofe de este sábado (16.15h) ante el Deportivo Alavés en el Estadio de la Cerámica.El club ha colaborado económicamente con los afectados donando medio millón de euros a @valencia.caritas y a @cruzrojaesp (250 mil euros a cada una) e invita a sus aficionados a que también puedan hacerlo. Con el objetivo de poder dar mayor visibilidad a esta situación y en señal de duelo, identidad y sentido de pertenencia, el club llevará a cabo las distintas acciones en el encuentro del sábado.#JuntsEndavant 💛 | #VillarrealAlavés",-1.0,NEGATIVE,"The comment expresses strong disapproval and discomfort related to a photo published of Yéremy Pino, indicating that the user has a negative reaction to it. The phrase 'me acabo de cagar encima' reflects extreme distress. The mention of 'lo he visto desde abajo' could imply a sense of support for the player but is overshadowed by the negative sentiment regarding the photo.",Do not publish the photo of a man in black mourning again... I just crapped my pants... because I have seen Yéremy Pino from the bottom!! Don't do such things @villarrealcf 😢
villareal,Yéremy Pino,Que juegue Yeremy Pino,https://www.instagram.com/p/DBWSDRZNazC/,"𝗔𝗗𝗘𝗟𝗔𝗡𝗧𝗘, 𝗠𝗔́𝗚𝗜𝗖𝗢 𝗩𝗜𝗟𝗟𝗔𝗥𝗥𝗘𝗔𝗟 💛",0.0,NEUTRAL,The comment expresses a desire for Yéremy Pino to play but does not express any positive or negative sentiment towards him.,Let Yéremy Pino play.
villareal,Yéremy Pino,Más minutos a Yeremy pino,https://www.instagram.com/reel/DBRXgBboFzV/,"🤔 Who's the most gamer at @villarrealcf? Who's the DJ? Who spends the most time on social media?💛 Get to know the Yellow Submarine better with @ramonterrats_, @sergiicardona and @rodrigofaez in a new edition of #ElCórnerLALIGA!🎮 @easportsfces 🎮",1.0,POSITIVE,"The comment expresses a desire for more playing time for Yéremy Pino, suggesting approval and support for him.",More minutes for Yéremy Pino.
villareal,Yéremy Pino,Y yeremi pino va a jugar?,https://www.instagram.com/p/DBLu5DdIlf1/,#VillarrealGetafe 🔜,0.0,NEUTRAL,"The comment is a question about whether Yéremy Pino is going to play, indicating a neutral stance as there is no positive or negative sentiment expressed.",And is Yéremy Pino going to play?
villareal,Yéremy Pino,"Captain Carvajal suffered a knee injury towards the end of the match. It happened after Carvajal tried to clear the ball. However, Yeremi Pino appeared to block and caused Carvajal to injure himself.",https://www.instagram.com/p/DAwea2DMICf/,"Gracias por vuestro apoyo, groguets. Buen viaje de vuelta a casa 💛",-1.0,NEGATIVE,"The comment implies that Yéremy Pino was involved in an incident that led to Carvajal's injury, suggesting a negative impact on the player's performance or actions. The phrase 'caused Carvajal to injure himself' directly associates Pino with a harmful outcome.","Captain Carvajal suffered a knee injury towards the end of the match. It happened after Carvajal tried to clear the ball. However, Yeremi Pino appeared to block and caused Carvajal to injure himself."
villareal,Yéremy Pino,I hope Yeremy Pino will get his 2 ACLs soon. Karma is real.,https://www.instagram.com/p/DAwboSExaC0/,Termina el partido en Madrid.#RealMadridVillarreal,-1.0,NEGATIVE,"The comment expresses a desire for an injury to occur (referencing ACLs) to Yéremy Pino, which is a negative sentiment. The use of 'karma is real' implies a belief that he deserves this fate, further reinforcing the negative tone.",I hope Yeremy Pino will get his 2 ACLs soon. Karma is real.
villareal,Yéremy Pino,"Captain Carvajal suffered a knee injury towards the end of the match. It happened after Carvajal tried to clear the ball. However, Yeremi Pino appeared to block and caused Carvajal to injure himself. Not repect🖕",https://www.instagram.com/p/DAwboSExaC0/,Termina el partido en Madrid.#RealMadridVillarreal,-1.0,NEGATIVE,"The comment attributes blame to Yéremy Pino for causing an injury to another player, Carvajal, and expresses disrespect towards him, indicated by 'Not respect' and the middle finger emoji.","Captain Carvajal suffered a knee injury towards the end of the match. It happened after Carvajal tried to clear the ball. However, Yéremy Pino appeared to block and caused Carvajal to injure himself. Not respect🖕"
villareal,Yéremy Pino,Thank you Yeremy Pino,https://www.instagram.com/p/DAwboSExaC0/,Termina el partido en Madrid.#RealMadridVillarreal,1.0,POSITIVE,"The comment expresses gratitude towards Yéremy Pino, indicating a positive sentiment. The phrase 'Thank you' shows appreciation, which is directly favorable towards the player.",Thank you Yeremy Pino
villareal,Yéremy Pino,😡😡😡😡 pino the barbaric,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment describes Yéremy Pino with the term 'barbaric,' which carries a strong negative connotation. The multiple angry emojis further emphasize the negative sentiment towards him.",Pino the barbaric
villareal,Yéremy Pino,"Muchas gracias Pino, get out carvahal GET OUT🤡🤡",https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment expresses frustration towards another player (Carvajal) while thanking Yéremy Pino. The overall tone indicates the commenter is upset with the situation, but since they acknowledge Pino positively, the focus is on the complaint against Carvajal rather than Pino.","Thank you very much Pino, get out Carvajal GET OUT🤡🤡"
